jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Pases precisos p90,Pases precisos al tercio final p90,Pases largos precisos p90,Pases precisos hacia adelante p90,Precisión de pase
M. Hernández,Herediano,1278,cf,36,13.1,0.85,0.14,2.25,77.5
A. Amador,Guadalupe,893,"lw, rw, lamf",25,13.1,1.71,1.61,2.92,64.04
J. Gaete,Cartaginés,737,"lw, rw, lamf",29,13.07,0.73,0.61,1.95,73.29
L. Díaz,Sporting San José,979,"rw, rcmf3",27,13.05,1.56,1.1,3.22,67.3
A. Pineda,Puntarenas,1709,gk,29,13.01,1.11,3.74,7,85.17
M. Pereira,Pérez Zeledón,1217,cf,21,12.5,1.48,0.67,2.59,68.98
J. Navarro,Sporting San José,817,"cf, lw",27,12.01,1.21,0.33,2.53,68.13
K. Briceño,Cartaginés,1867,gk,34,12,1.64,3.42,7.52,84.41
R. Márquez,Cartaginés,954,cf,28,11.89,0.66,0.28,1.32,82.89
A. Monreal,Municipal Liberia,1701,gk,31,11.75,1.11,3.65,6.35,77.89
Tomás Rodriguez,Deportivo Saprissa,1327,cf,27,11.06,1.15,0.41,1.9,77.62
D. Rodríguez,Puntarenas,971,"cf, rw, ramf",23,10.47,0.56,0.19,1.76,80.14
E. Torres,Municipal Liberia,1121,cf,33,10.28,0.72,0.24,1.2,70.72
W. Ortega,Alajuelense,1452,gk,31,10.23,0.56,1.98,5.33,86.39
R. Leal,Guadalupe,1025,gk,24,10.01,1.05,4.21,6.23,77.03
J. Mora,Cartaginés,833,"lw, lamf, ramf",22,9.94,0.54,0.43,1.73,70.23
B. Martínez,San Carlos,907,cf,29,9.82,0.4,0.2,0.69,73.33
F. Lesme,Municipal Liberia,549,cf,24,9.67,1.48,0.16,1.97,71.08
R. Cisneros,Alajuelense,1412,cf,29,8.92,0.51,0.13,1.78,72.92
A. Rodríguez,Deportivo Saprissa,538,cf,36,8.87,0.84,0.5,2.17,70.67
M. González,San Carlos,1547,gk,29,8.38,1.75,4.6,6.17,70.59
R. Carballo,Puntarenas,1212,cf,30,7.35,0.3,0.07,0.97,70.71
M. George,Sporting San José,978,cf,32,6.9,0.64,0,1.29,70.75
J. Delgado,Guadalupe,711,gk,32,6.33,0.89,2.15,3.42,74.63
