jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Duelos ofensivos ganados p90,Regates exitosos p90,Faltas recibidas p90
W. Decas,Puntarenas,1505,"cb, lcb, lcb3",26,0.78,0.06,0.36
F. Coronado,Sporting San José,814,"rcmf, dmf, rdmf",24,0.77,0.11,1.44
S. van der Putten,Alajuelense,730,"rcb, cb",21,0.74,0,0.37
J. Huertas,Municipal Liberia,1117,"cb, rcb, rb",31,0.73,0.24,0.64
E. Drummond Arroyo,Pérez Zeledón,903,"lcmf, dmf, rcmf",20,0.7,0,0.3
J. Rubio,Herediano,1619,"lcb, lcb3",29,0.67,0.11,1.33
A. Salazar,Alajuelense,1451,"rcb, rcb3, rb",27,0.62,0.12,0.74
K. Waston,Deportivo Saprissa,1774,"lcb, rcb",38,0.61,0.3,0.61
E. Pastrana,Pérez Zeledón,1492,lcb,26,0.6,0.12,0.48
P. Fonseca,San Carlos,625,"rcb3, rb",27,0.58,0,0.43
K. Gutiérrez,Puntarenas,628,"cb, rcb, rcb3",36,0.57,0,0.57
L. Ayala,Guadalupe,642,"lcb, lcb3, lcmf",28,0.56,0,1.12
F. Khatami,Puntarenas,1385,"lcb3, lcmf, lcb",21,0.52,0.19,0.26
K. Fajardo,Guadalupe,714,"lcb3, lcb",36,0.5,0.13,0.63
R. Rivera,San Carlos,1108,"rcb3, rb, rwb",27,0.49,0.08,0.73
K. Espinoza,Sporting San José,561,"rcb3, rcb",29,0.48,0,0.32
D. Mesén,Cartaginés,1324,rcb,27,0.48,0,0.41
G. Montes,Herediano,784,"rcb, rcb3, cb",29,0.46,0,0.8
K. Brown,Herediano,1232,"rcb, cb, lcb",34,0.44,0,0.37
R. Rodríguez,Pérez Zeledón,930,"rcb, rb",23,0.39,0.1,0.19
L. Flores,Cartaginés,1668,"rcmf, lcmf, ldmf",32,0.38,0,0.32
W. Fernández,Pérez Zeledón,1726,"rcb, lcb",32,0.37,0.16,0.42
A. Soto,Sporting San José,1520,"lcb, lcb3",34,0.36,0.18,0.18
M. Pereira,Cartaginés,1408,"lcb, rcb",31,0.32,0.06,0.26
