jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Ganancia de duelos,Ganancia de encares,Ganancia de duelos aéreos de campo ganados,Posesión perdida peligrosa en campo propio p90
I. Gómez,Puntarenas,1560,"lwb, lb5, lb",27,45.89,41.51,37.21,0.52
Junior Maleck,Guadalupe,823,cf,27,37.82,0,37.04,0.11
E. Torres,Municipal Liberia,1121,cf,33,35.83,0,36.84,0.24
U. Segura,Puntarenas,1389,"lcmf, rcmf, amf",32,43.3,50,36.59,0.32
R. Carballo,Puntarenas,1212,cf,30,30,50,35.88,0.07
S. Lucumí,Alajuelense,677,"lw, cf, lamf",31,43.45,54.55,35.71,0.13
L. Paradela,Deportivo Saprissa,1132,"lw, lamf, ramf",29,49.22,38.1,35.71,0.08
M. George,Sporting San José,978,cf,32,38.19,0,35.53,0.28
J. Hernández,Municipal Liberia,976,"cf, lw",32,37.19,33.33,35.42,0.09
Claudio Montero,Cartaginés,567,"rw, cf, ramf",20,35.57,8.33,35.29,0.48
J. Gaete,Cartaginés,737,"lw, rw, lamf",29,40.97,33.33,35,0.37
D. López,Cartaginés,1412,"rcmf, lcmf, cf",27,48.57,59.26,34.78,0.57
Tomás Rodriguez,Deportivo Saprissa,1327,cf,27,39.32,11.11,33.67,0.2
J. Aguilar,San Carlos,1171,"cf, rw, amf",31,36.14,100,32.35,0.15
C. Pineda,Sporting San José,965,"lcmf, rcmf",28,51.53,45.45,32,0.47
J. Venegas,Cartaginés,692,"cf, amf",37,37.11,0,31.11,0.52
K. Fuller,Herediano,857,"rb, rw, rb5",31,45.05,33.33,30.77,0.42
C. Núñez,Cartaginés,1584,"cf, amf, lcmf",28,41.6,33.33,30.67,0.63
J. Ruiz,Guadalupe,983,"cf, amf",32,39.44,0,30.56,0.37
J. Mora,Deportivo Saprissa,555,"lb, lwb",33,53.91,57.14,30,0.81
K. Porras,Pérez Zeledón,1063,lw,25,38.99,35.71,29.41,0
R. Cisneros,Alajuelense,1412,cf,29,35.76,33.33,28.95,0.32
K. Vargas,Alajuelense,702,"lw, lamf, ramf",24,43.08,50,28.57,0.26
B. Alfaro,Cartaginés,589,"lcmf, rcmf, ldmf",29,36.25,14.29,27.78,0.46
E. Drummond Arroyo,Pérez Zeledón,903,"lcmf, dmf, rcmf",20,51.64,33.33,27.27,0.8
R. Taylor,Puntarenas,881,"lw, lamf, ramf",28,37.86,12.5,27.03,0.2
Á. Zaldívar,Alajuelense,885,"cf, amf, rw",32,38.81,66.67,25.64,0.2
K. Cerdas,San Carlos,908,"cf, rcmf, lw",30,38.14,36.36,25,0.3
R. Leal,Herediano,728,"lw, rw, amf",29,47.33,28.57,25,0.37
D. Masis,San Carlos,534,"lb5, lb, lwb",21,53.49,33.33,25,0.51
