jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Duelos aéreos ganados p90,Remates de cabeza p90,Ganancia de duelos aéreos de campo ganados
M. Pereira,Pérez Zeledón,1217,cf,21,0.89,0.3,16.67
K. Cerdas,San Carlos,908,"cf, rcmf, lw",30,0.89,0,25
K. Gómez,Puntarenas,1434,"rb5, rwb, rb",26,0.88,0.06,48.28
R. Matarrita,Alajuelense,1638,"lb, lwb",31,0.88,0.11,47.06
J. Campbell,Alajuelense,616,"cf, rcmf, amf",33,0.88,0.15,54.55
L. Hernández,Pérez Zeledón,1554,"lb, lb5",28,0.87,0,38.46
J. Gaete,Cartaginés,737,"lw, rw, lamf",29,0.85,0,35
Alejandro Porras,Pérez Zeledón,739,"rcmf, lcmf, rdmf",30,0.85,0,46.67
B. Bonilla,Guadalupe,741,"rcmf, lb5, rdmf",29,0.85,0,43.75
R. Cordoba,San Carlos,1387,"rcmf, lcmf, rcmf3",27,0.84,0,41.94
J. Brenes,Deportivo Saprissa,900,"lcmf, ldmf",29,0.8,0.2,40
L. Paradela,Deportivo Saprissa,1132,"lw, lamf, ramf",29,0.8,0.16,35.71
B. Alfaro,Cartaginés,589,"lcmf, rcmf, ldmf",29,0.76,0,27.78
C. Pineda,Sporting San José,965,"lcmf, rcmf",28,0.75,0,32
S. Johnson,Municipal Liberia,1462,"rb5, rb, rw",23,0.74,0,44.44
R. Cisneros,Alajuelense,1412,cf,29,0.7,0.19,28.95
A. Rodríguez,Deportivo Saprissa,538,cf,36,0.67,0.33,12.12
D. Masis,San Carlos,534,"lb5, lb, lwb",21,0.67,0,25
S. Lucumí,Alajuelense,677,"lw, cf, lamf",31,0.66,0.27,35.71
R. Ramírez,Municipal Liberia,699,"lw, lcmf3, cf",22,0.64,0.13,23.81
S. Zúñiga,Cartaginés,1683,"lb, rw",29,0.64,0,60
E. Aguilar,Herediano,1332,"rcmf, rw, amf",34,0.61,0,40.91
E. Drummond Arroyo,Pérez Zeledón,903,"lcmf, dmf, rcmf",20,0.6,0,27.27
J. Valverde,Sporting San José,762,"rb, rb5, rw",30,0.59,0,38.46
M. Angulo,Guadalupe,1535,"lcmf, rcmf, ldmf",39,0.59,0,52.63
G. Sibaja Pérez,Herediano,616,"rw, lw",17,0.58,0,17.39
Al. López,Sporting San José,1262,"rcmf, lcmf, lcmf3",33,0.57,0,47.06
K. Vargas,Alajuelense,702,"lw, lamf, ramf",24,0.51,0,28.57
L. Flores,Cartaginés,1668,"rcmf, lcmf, ldmf",32,0.49,0,24.32
K. Porras,Pérez Zeledón,1063,lw,25,0.42,0.25,29.41
K. Fuller,Herediano,857,"rb, rw, rb5",31,0.42,0,30.77
D. Guzmán,Deportivo Saprissa,922,"ldmf, dmf, rcmf",36,0.39,0,17.39
R. Araya,Herediano,689,"lw, lamf",26,0.39,0.13,37.5
R. Leal,Herediano,728,"lw, rw, amf",29,0.37,0.12,25
G. Castro,Cartaginés,567,"ramf, rw, cf",24,0.32,0.16,20
A. Hernández,Alajuelense,905,"rw, ramf, lcmf",24,0.3,0.2,18.75
M. Torres,Deportivo Saprissa,1511,"amf, rcmf",39,0.3,0,50
M. Ureña,Sporting San José,676,"cf, amf",36,0.27,0,15.38
B. Sequeira,Municipal Liberia,688,"rb, rw",28,0.26,0,12.5
G. Torres,Deportivo Saprissa,708,"rw, ramf",28,0.25,0.25,13.33
A. Amador,Guadalupe,893,"lw, rw, lamf",25,0.1,0,11.11
L. Moreira,Sporting San José,1646,gk,36,0,0,0
A. Monreal,Municipal Liberia,1701,gk,31,0,0,0
M. González,San Carlos,1547,gk,29,0,0,0
W. Ortega,Alajuelense,1452,gk,31,0,0,0
J. Delgado,Guadalupe,711,gk,32,0,0,0
M. Villalobos Vega,Municipal Liberia,863,"lw, rcmf3, lcmf3",26,0,0,0
R. Leal,Guadalupe,1025,gk,24,0,0,0
B. Segura,Pérez Zeledón,1156,gk,29,0,0,0
K. Briceño,Cartaginés,1867,gk,34,0,0,0
A. Guevara,San Carlos,688,"lw, lcmf3, lwf",37,0,0,0
D. Carvajal,Herediano,1642,gk,37,0,0,0
A. Pineda,Puntarenas,1709,gk,29,0,0,0
A. Madriz,Deportivo Saprissa,1774,gk,22,0,0,0
M. Ajú,Pérez Zeledón,598,gk,26,0,0,0
