jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Duelos defensivos ganados p90,Regates evitados p90,Balones divididos ganados p90,Faltas p90
M. Villalobos Vega,Municipal Liberia,863,"lw, rcmf3, lcmf3",26,2.4,0.63,0.31,0.73
M. Torres,Deportivo Saprissa,1511,"amf, rcmf",39,2.32,0.48,1.01,0.66
K. Porras,Pérez Zeledón,1063,lw,25,2.29,0.42,0.25,0.76
J. Mora,Cartaginés,833,"lw, lamf, ramf",22,2.27,0.54,0.32,0.97
J. Huertas,Municipal Liberia,1117,"cb, rcb, rb",31,2.26,0.97,1.05,0.48
B. Sequeira,Municipal Liberia,688,"rb, rw",28,2.22,0.65,0.39,1.05
U. Segura,Puntarenas,1389,"lcmf, rcmf, amf",32,2.14,0.39,0.58,0.65
Al. López,Sporting San José,1262,"rcmf, lcmf, lcmf3",33,2.07,0.71,0.36,0.43
Claudio Montero,Cartaginés,567,"rw, cf, ramf",20,2.06,0.16,1.75,1.27
A. Rodríguez,Deportivo Saprissa,538,cf,36,2.01,0.17,1.51,1.34
K. Waston,Deportivo Saprissa,1774,"lcb, rcb",38,1.98,0.46,1.57,0.71
F. Lesme,Municipal Liberia,549,cf,24,1.97,0,0.98,2.3
Tomás Rodriguez,Deportivo Saprissa,1327,cf,27,1.97,0.07,1.09,1.29
J. Venegas,Cartaginés,692,"cf, amf",37,1.95,0,1.95,0.78
J. Hernández,Municipal Liberia,976,"cf, lw",32,1.94,0.18,1.2,0.92
J. Ruiz,Guadalupe,983,"cf, amf",32,1.92,0,1.56,1.56
J. Navarro,Sporting San José,817,"cf, lw",27,1.87,0.77,1.21,1.76
A. Guevara,San Carlos,688,"lw, lcmf3, lwf",37,1.7,0.65,0.39,1.18
A. Hernández,Alajuelense,905,"rw, ramf, lcmf",24,1.69,0.1,1.09,0.9
R. Márquez,Cartaginés,954,cf,28,1.6,0,1.23,1.6
Manuel Moran,Pérez Zeledón,1528,"rw, cf",28,1.59,0.12,1.06,1.18
B. Martínez,San Carlos,907,cf,29,1.59,0.1,1.29,1.69
D. Colindres,Puntarenas,921,"lwf, cf, lw",41,1.56,0.2,0.68,1.37
M. Ureña,Sporting San José,676,"cf, amf",36,1.46,0.27,0.27,0.53
Junior Maleck,Guadalupe,823,cf,27,1.42,0,0.44,0.77
M. Hernández,Herediano,1278,cf,36,1.27,0,0.99,0.85
B. Alfaro,Cartaginés,589,"lcmf, rcmf, ldmf",29,1.22,0.15,0.46,1.53
J. Aguilar,San Carlos,1171,"cf, rw, amf",31,1.15,0.08,0.61,0.61
M. George,Sporting San José,978,cf,32,1.1,0,1.2,1.66
D. Rodríguez,Puntarenas,971,"cf, rw, ramf",23,1.02,0.09,0.46,0.74
R. Carballo,Puntarenas,1212,cf,30,0.97,0.07,1.19,1.49
E. Torres,Municipal Liberia,1121,cf,33,0.96,0,1.53,1.12
R. Cisneros,Alajuelense,1412,cf,29,0.89,0.06,0.45,0.51
B. Segura,Pérez Zeledón,1156,gk,29,0.16,0.08,0.23,0
M. Ajú,Pérez Zeledón,598,gk,26,0.15,0.15,0.15,0.15
K. Briceño,Cartaginés,1867,gk,34,0.14,0.1,0.05,0.05
J. Delgado,Guadalupe,711,gk,32,0.13,0.13,0.13,0
M. González,San Carlos,1547,gk,29,0.12,0.12,0,0
R. Leal,Guadalupe,1025,gk,24,0.09,0,0.09,0
A. Madriz,Deportivo Saprissa,1774,gk,22,0.05,0.05,0.15,0
L. Moreira,Sporting San José,1646,gk,36,0,0,0,0
D. Carvajal,Herediano,1642,gk,37,0,0,0,0
A. Pineda,Puntarenas,1709,gk,29,0,0,0.11,0
W. Ortega,Alajuelense,1452,gk,31,0,0,0.06,0
A. Monreal,Municipal Liberia,1701,gk,31,0,0,0.16,0
