jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Goles p90,Remates p90,Remates a puerta p90,Conversión de gol,xG p90
M. Villalobos Vega,Municipal Liberia,863,"lw, rcmf3, lcmf3",26,0.1,0.83,0.21,12.5,0.09
A. Matarrita,Deportivo Saprissa,563,"dmf, lcb3, rb",21,0,0.8,0.32,0,0.12
R. Cordoba,San Carlos,1387,"rcmf, lcmf, rcmf3",27,0.13,0.78,0.13,16.67,0.05
L. Flores,Cartaginés,1668,"rcmf, lcmf, ldmf",32,0.05,0.76,0.11,7.143,0.01
B. Bonilla,Guadalupe,741,"rcmf, lb5, rdmf",29,0,0.73,0.12,0,0.01
J. Rivera Stuart,Pérez Zeledón,1115,"rb, rb5",29,0.08,0.73,0.32,11.11,0.05
S. Zúñiga,Cartaginés,1683,"lb, rw",29,0,0.7,0.16,0,0.03
Y. Hernández,Municipal Liberia,904,"lcmf, lcmf3, rcmf",30,0,0.7,0.1,0,0.05
D. Araya,Herediano,1475,"lb, lb5, lw",25,0.06,0.67,0.18,9.091,0.03
G. Villalobos,Alajuelense,1357,"lcb, rcb, cb",24,0.07,0.66,0.27,10,0.1
G. Méndez,Guadalupe,1666,"lb, lb5",34,0,0.65,0.11,0,0.09
C. Martínez,San Carlos,1415,"lcmf, dmf, cb",32,0.06,0.64,0.13,10,0.04
S. Johnson,Municipal Liberia,1462,"rb5, rb, rw",23,0,0.62,0.37,0,0.05
A. Gamboa,Alajuelense,737,"lcb, lcb3",27,0,0.61,0.12,0,0.15
E. Pastrana,Pérez Zeledón,1492,lcb,26,0.06,0.6,0.24,10,0.04
G. Castillo,San Carlos,1368,"lb, lb5, lwb",24,0,0.59,0.07,0,0.03
C. Borges,Alajuelense,915,"rcmf, rdmf",38,0.1,0.59,0.3,16.67,0.05
I. Gómez,Puntarenas,1560,"lwb, lb5, lb",27,0,0.58,0.23,0,0.03
G. Montes,Herediano,784,"rcb, rcb3, cb",29,0.11,0.57,0.11,20,0.1
R. Matarrita,Alajuelense,1638,"lb, lwb",31,0,0.55,0.27,0,0.04
J. Venegas,San Carlos,1316,"rw, rwb, rb5",38,0.14,0.55,0.21,25,0.07
R. Parkins,Alajuelense,998,"dmf, lcmf, ldmf",25,0,0.54,0.09,0,0.03
K. Guzmán,Guadalupe,1361,"rcb, rcb3",29,0.13,0.53,0.2,25,0.11
