jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Pases recibidos p90,Pivoteos p90,Pérdidas p90,Toques en el área p90
A. Hudson,Municipal Liberia,991,"rw, rb5, cf",20,16.26,1.54,12.81,2.45
R. Taylor,Puntarenas,881,"lw, lamf, ramf",28,16.24,0.51,11.85,3.68
M. Ureña,Sporting San José,676,"cf, amf",36,15.98,1.2,8.79,2.93
J. Ruiz,Guadalupe,983,"cf, amf",32,15.93,1.1,11.72,1.56
Y. Molina,Municipal Liberia,1544,"rcb3, rcb",30,15.85,0,6.35,0.41
J. Venegas,Cartaginés,692,"cf, amf",37,15.74,1.3,11.05,3.77
R. Rodríguez,Pérez Zeledón,930,"rcb, rb",23,15.68,0,7.94,1.06
Á. Zaldívar,Alajuelense,885,"cf, amf, rw",32,15.46,0.71,9.66,2.54
J. Mora,Deportivo Saprissa,555,"lb, lwb",33,15.41,0,10.22,0.32
E. Morales,Guadalupe,985,"lw, rw, lamf",26,15.35,0.55,12.06,2.56
A. Amador,Guadalupe,893,"lw, rw, lamf",25,15.22,0.3,10.68,0.71
W. Francis,Municipal Liberia,1026,"lcb3, lb5, lb",35,15.18,0,7.98,0.35
K. Brown,Herediano,1232,"rcb, cb, lcb",34,14.9,0,5.33,0.22
K. Vargas,Alajuelense,702,"lw, lamf, ramf",24,14.74,0.77,11.03,4.36
C. Núñez,Cartaginés,1584,"cf, amf, lcmf",28,14.6,0.74,10.63,1.93
D. Ramírez Bolaños,Sporting San José,666,"lw, rw, cf",21,14.32,0,10.95,2.3
Claudio Montero,Cartaginés,567,"rw, cf, ramf",20,14.13,0.63,11.9,2.54
S. Taylor,Deportivo Saprissa,1634,"rb, rb5",22,13.99,0.06,10.91,0.33
K. Porras,Pérez Zeledón,1063,lw,25,13.97,0.68,7.54,1.69
O. Sinclair,Deportivo Saprissa,600,"cf, lcmf",28,13.8,2.1,12.9,5.7
L. Díaz,Sporting San José,979,"rw, rcmf3",27,13.61,0.18,12.23,1.93
T. Demetrius,Guadalupe,862,"cf, lw, rw",21,13.47,1.15,13.47,2.92
A. Matarrita,Deportivo Saprissa,563,"dmf, lcb3, rb",21,13.43,0,8.63,0.96
A. Hernández,Alajuelense,905,"rw, ramf, lcmf",24,13.33,0.99,9.35,2.59
R. Ramírez,Municipal Liberia,699,"lw, lcmf3, cf",22,13.26,0.64,8.88,2.06
G. Torres,Deportivo Saprissa,708,"rw, ramf",28,12.84,1.65,9.41,2.67
K. Espinoza,Sporting San José,561,"rcb3, rcb",29,12.83,0,8.18,0.32
R. Miranda,Guadalupe,1575,"cb, lcb, rcb",30,12.8,0,8.17,0.34
J. Gaete,Cartaginés,737,"lw, rw, lamf",29,12.7,0.12,8.43,2.69
M. Hernández,Herediano,1278,cf,36,12.68,1.62,12.25,3.38
J. Méndez,Sporting San José,1551,"cf, lw",24,12.65,0.58,12.07,2.44
L. Ayala,Guadalupe,642,"lcb, lcb3, lcmf",28,12.34,0,8.41,0.7
Junior Maleck,Guadalupe,823,cf,27,11.92,2.19,9.62,1.31
G. Sibaja Pérez,Herediano,616,"rw, lw",17,11.83,0.29,9.64,1.75
M. Pereira,Pérez Zeledón,1217,cf,21,11.68,1.85,13.02,2.96
J. Navarro,Sporting San José,817,"cf, lw",27,10.91,0.33,13.44,3.3
R. Márquez,Cartaginés,954,cf,28,10.47,1.51,7.83,3.87
D. Carvajal,Herediano,1642,gk,37,10.47,0,4,0
Tomás Rodriguez,Deportivo Saprissa,1327,cf,27,9.97,1.63,9.63,3.12
M. Ajú,Pérez Zeledón,598,gk,26,9.93,0,3.91,0
J. Mora,Cartaginés,833,"lw, lamf, ramf",22,9.72,0,8.97,3.03
R. Cisneros,Alajuelense,1412,cf,29,9.05,1.53,7.52,3.12
E. Torres,Municipal Liberia,1121,cf,33,8.99,1.45,10.36,2.33
D. Rodríguez,Puntarenas,971,"cf, rw, ramf",23,8.9,1.3,9.18,2.78
F. Lesme,Municipal Liberia,549,cf,24,8.69,0.98,11.8,3.77
L. Moreira,Sporting San José,1646,gk,36,8.58,0,4.87,0
A. Madriz,Deportivo Saprissa,1774,gk,22,8.57,0,2.79,0
A. Pineda,Puntarenas,1709,gk,29,8.16,0,3.21,0
A. Rodríguez,Deportivo Saprissa,538,cf,36,7.7,0.5,9.03,3.01
K. Briceño,Cartaginés,1867,gk,34,7.57,0,3.76,0
B. Martínez,San Carlos,907,cf,29,7.34,1.29,10.22,2.78
B. Segura,Pérez Zeledón,1156,gk,29,6.85,0,2.88,0
R. Carballo,Puntarenas,1212,cf,30,6.46,1.11,11.58,3.19
M. George,Sporting San José,978,cf,32,6.44,0.64,9.02,2.58
R. Leal,Guadalupe,1025,gk,24,5.71,0,3.78,0
A. Monreal,Municipal Liberia,1701,gk,31,5.61,0,4.34,0
M. González,San Carlos,1547,gk,29,5.24,0,5.82,0
W. Ortega,Alajuelense,1452,gk,31,5.14,0,2.6,0
J. Delgado,Guadalupe,711,gk,32,3.92,0,3.29,0
