jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Asistencias p90,xG asistido p90,Pases filtrados p90,Asistencias a tiros p90,Centros precisos p90,Pases inteligentes p90
C. Martínez,San Carlos,1415,"lcmf, dmf, cb",32,0,0.03,0.32,0.25,0,0
A. Cruz,Herediano,1003,"lcmf, rcmf, cf",30,0,0.07,0.63,0.54,0.18,0.36
S. Johnson,Municipal Liberia,1462,"rb5, rb, rw",23,0,0.02,0.49,0.31,0.8,0.18
M. González,San Carlos,1547,gk,29,0,0,0.23,0,0,0
A. Salazar,Alajuelense,1451,"rcb, rcb3, rb",27,0,0.01,0.12,0.31,0.37,0
C. Pineda,Sporting San José,965,"lcmf, rcmf",28,0,0,0,0.28,0,0
F. Faerrón,Cartaginés,1025,lcb,25,0,0.01,0.97,0.35,0,0.18
F. Piñar,Alajuelense,1094,rb,24,0,0.01,0.08,0.25,0.16,0
A. Sinclair,Puntarenas,732,"rcmf, lcmf, rdmf",26,0,0.01,0.37,0.25,0.12,0
G. Villalobos,Alajuelense,1357,"lcb, rcb, cb",24,0,0,0.86,0,0,0.07
K. Fuller,Herediano,857,"rb, rw, rb5",31,0,0.04,0,0.42,0.84,0
P. Fonseca,San Carlos,625,"rcb3, rb",27,0,0.01,0.58,0.14,0,0
A. Gamboa,Alajuelense,737,"lcb, lcb3",27,0,0,0.61,0.12,0,0
J. Gaete,Cartaginés,737,"lw, rw, lamf",29,0,0.09,0.24,0.85,0.61,0.12
Junior Maleck,Guadalupe,823,cf,27,0,0.01,0.11,0.55,0,0
H. Quirós,Herediano,1236,"rb, rb5",27,0,0.02,0.36,0.66,1.24,0.07
R. Rodríguez,Pérez Zeledón,930,"rcb, rb",23,0,0,0.1,0,0.19,0
J. Navarro,Sporting San José,817,"cf, lw",27,0,0.01,0.22,0.66,0.33,0
K. Guzmán,Guadalupe,1361,"rcb, rcb3",29,0,0,0.6,0.07,0,0
D. Araya,Herediano,1475,"lb, lb5, lw",25,0,0.11,0.49,0.67,1.34,0.12
Y. Molina,Municipal Liberia,1544,"rcb3, rcb",30,0,0,0,0.06,0,0
R. Cole,Puntarenas,759,"rw, rwf, amf",27,0,0.02,0,0.36,0.59,0
K. Porras,Pérez Zeledón,1063,lw,25,0,0.05,0,0.59,0.59,0
Tomás Rodriguez,Deportivo Saprissa,1327,cf,27,0,0.03,0,0.41,0.2,0
R. Bolaños,Sporting San José,996,lb,27,0,0.07,0.63,0.72,0.81,0
R. Ramírez,Municipal Liberia,699,"lw, lcmf3, cf",22,0,0.07,0.13,0.39,0.64,0.13
B. Bonilla,Guadalupe,741,"rcmf, lb5, rdmf",29,0,0,0.24,0.24,0.85,0
W. Ortega,Alajuelense,1452,gk,31,0,0.03,0.06,0.06,0,0
K. Cerdas,San Carlos,908,"cf, rcmf, lw",30,0,0.14,0.79,1.09,0.5,0
G. Taylor,Deportivo Saprissa,1525,"rb, dmf",25,0,0.02,0.35,0.47,0.35,0
J. Méndez,Sporting San José,1551,"cf, lw",24,0,0.11,0.17,0.99,0.35,0.06
A. Monreal,Municipal Liberia,1701,gk,31,0,0,0.26,0,0,0
Y. Salinas,Sporting San José,891,"rb, rcb3, rb5",27,0,0.01,0.1,0.2,0.81,0
G. Méndez,Guadalupe,1666,"lb, lb5",34,0,0.02,0.16,0.38,0.11,0
G. Montes,Herediano,784,"rcb, rcb3, cb",29,0,0.03,0.57,0.11,0,0
W. Decas,Puntarenas,1505,"cb, lcb, lcb3",26,0,0.03,0.42,0.3,0.12,0
A. Pineda,Puntarenas,1709,gk,29,0,0.02,0.05,0.05,0,0
M. Ajú,Pérez Zeledón,598,gk,26,0,0,0,0,0,0
P. Arboine,Deportivo Saprissa,1628,rcb,28,0,0,0.33,0.06,0.11,0
A. Madriz,Deportivo Saprissa,1774,gk,22,0,0,0.1,0,0,0
F. Lesme,Municipal Liberia,549,cf,24,0,0.08,0,0.33,0,0
B. Sequeira,Municipal Liberia,688,"rb, rw",28,0,0.06,0.52,0.78,0.52,0
K. Espinoza,Sporting San José,561,"rcb3, rcb",29,0,0.03,0.16,0.16,0,0
L. Ayala,Guadalupe,642,"lcb, lcb3, lcmf",28,0,0.01,0.42,0.28,0,0
R. Leal,Guadalupe,1025,gk,24,0,0.02,0.09,0.09,0,0
H. Muñoz,Puntarenas,1490,"rcb3, rcb, rb",31,0,0.03,0.48,0.3,0.42,0
E. Drummond Arroyo,Pérez Zeledón,903,"lcmf, dmf, rcmf",20,0,0.02,0.2,0.4,0.1,0
